time,RegionID,Zipcode,City,State,Metro,CountyName,SizeRank,AveragePrice,ROI,value
1996-04-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,301600.0
1996-04-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,133200.0
1996-04-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,137200.0
1996-04-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,146100.0
1996-04-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,149200.0
1996-04-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,552100.0
1996-04-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,98500.0
1996-04-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,191600.0
1996-04-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,280800.0
1996-05-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,302700.0
1996-05-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,132900.0
1996-05-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,137800.0
1996-05-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,146600.0
1996-05-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,148400.0
1996-05-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,553400.0
1996-05-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,99100.0
1996-05-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,191900.0
1996-05-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,282500.0
1996-06-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,303800.0
1996-06-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,132500.0
1996-06-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,138500.0
1996-06-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,147200.0
1996-06-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,147500.0
1996-06-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,554800.0
1996-06-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,99600.0
1996-06-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,192200.0
1996-06-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,284300.0
1996-07-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,304800.0
1996-07-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,132200.0
1996-07-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,139100.0
1996-07-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,147700.0
1996-07-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,146600.0
1996-07-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,556000.0
1996-07-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,100300.0
1996-07-01,60125,6068,Salisbury,CT,Torrington,Litchfield,13646,384341.13207547175,1.4765135699373697,192300.0
1996-07-01,60446,6793,Washington,CT,Torrington,Litchfield,14356,583974.716981132,1.3660968660968658,286200.0
1996-08-01,60545,7030,Hoboken,NJ,New York,Hudson,58,957777.3584905659,5.148209549071618,305800.0
1996-08-01,62022,11211,New York,NY,New York,Kings,118,595167.1698113207,11.18993993993994,131800.0
1996-08-01,60639,7302,Jersey City,NJ,New York,Hudson,192,596591.320754717,9.403061224489797,139600.0
1996-08-01,62027,11216,New York,NY,New York,Kings,476,572171.6981132076,9.942505133470226,148400.0
1996-08-01,62033,11222,New York,NY,New York,Kings,1156,640047.5471698113,10.535522788203751,146000.0
1996-08-01,60461,6820,Darien,CT,Stamford,Fairfield,6037,1128919.6226415094,1.5142184386886433,557000.0
1996-08-01,60796,7756,Neptune,NJ,New York,Monmouth,9759,345644.5283018868,4.418274111675127,100900.0
